customerID,Prediction_Date,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Model_used,Churn,Probability
7613-LLQFO,2024-08-30,Male,No,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.45,1059.55,Gradient Boost Classifier,Yes,73.87
4568-TTZRT,2024-08-30,Male,No,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,181.8,Gradient Boost Classifier,No,11.31
9513-DXHDA,2024-08-30,Male,No,No,No,27,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,81.7,2212.55,Gradient Boost Classifier,No,4.73
2640-PMGFL,2024-08-30,Male,No,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.5,2180.55,Gradient Boost Classifier,Yes,31.61
3801-HMYNL,2024-08-30,Male,No,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,89.15,89.15,Gradient Boost Classifier,Yes,68.06
0516-QREYC,2024-08-30,Female,Yes,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,Gradient Boost Classifier,Yes,13.73
9685-WKZGT,2024-08-30,Male,Yes,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1036.75,Gradient Boost Classifier,Yes,71.92
6022-UGGSO,2024-08-30,Female,Yes,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,2276.95,Gradient Boost Classifier,Yes,43.41
8084-OIVBS,2024-08-30,Female,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,211.95,Gradient Boost Classifier,No,5.96
8896-BQTTI,2024-08-30,Male,No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.0,25.0,Gradient Boost Classifier,Yes,35.68
3865-QBWSJ,2024-08-30,Male,Yes,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.45,3162.65,Gradient Boost Classifier,Yes,26.65
3352-RICWQ,2024-08-30,Female,No,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,210.65,Gradient Boost Classifier,No,2.79
2160-GPFXD,2024-08-30,Male,No,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),65.65,3566.7,Gradient Boost Classifier,No,2.0
